Título do trabalho,Link,Veículo,Autores(as) do trabalho,Resumo do trabalho
Verba de gabinete: vereadores de Maceió gastaram mais de R$2 milhões em 2019,https://www.agenciatatu.com.br/noticia/verba-de-gabinete-vereadores-de-maceio-gastaram-mais-de-r2-milhoes-em-2019/,Agência Tatu de Jornalismo de Dados,Lucas Maia,"Criando um ranking, a reportagem aborda a utilização da Verba Indenizatória de Atividade Parlamentar dos Vereadores (VIAP) pelo parlamento maceioense no período de janeiro a dezembro de 2019."
Cortina de Fumaça,https://cortinadefumaca.ambiental.media/,Ambiental Media,Thiago Medaglia; Letícia Klein; Laura Kurtzberg; Flavio Forner; Felipe Valente; Maria Bitarello; Alessandro Meiguins; Marcos de Lima,"A reportagem especial Cortina de Fumaça apresenta uma análise detalhada dos dados de fogo e desmatamento na Amazônia, revelando, em uma narrativa visual baseada em visualizações de dados apresentadas em mapas, a intrínseca relação entre os dois fenômenos nos últimos dois anos. A reportagem também envolveu uma viagem à região do Baixo Rio Tapajós, no Pará, onde nossa equipe acompanhou o trabalho de campo de pesquisadores de diversas instituições que atuam, em conjunto com comunidades ribeirinhas, no co-desenvolvimento de tecnologias alternativas ao uso do fogo na agricultura de subsistência em áreas remotas da floresta. Importante mencionar que a reportagem foi produzida pela Ambiental Media com apoio do Rainforest Journalism Fund, em parceria com o Pulitzer Center. 
"
Radar Aos Fatos,https://www.aosfatos.org/radar/#!/,Aos Fatos,"Tai Nalon; Carol Cavaleiro; Bárbara Libório; Thamyres Dias; Bruno Fávero; Marina Gamas Cubas, João Ernane Barbosa; Milena Mangabeira; Luiza Barros; Felippe Mercúrio; Bernardo Fontes; Rhenan Bartels; Pedro Belli, Álvaro Justen; Rômulo Collopy; Andressa Contarato; Rachel Bastos; Parafernália Interativa","O Radar Aos Fatos é uma ferramenta de monitoramento em tempo real do ecossistema de desinformação brasileiro. Engloba um monitor de conteúdo de baixa qualidade, que, de posse de um algoritmo que detecta padrões desinformativos entre plataformas, varre a internet em tempo real. Juntamente com relatórios e reportagens semanais, é uma vertical investigativa do Aos Fatos sobre o comportamento das campanhas de desinformação nas redes. Para tanto, o objetivo é reunir e classificar, de modo automatizado, conteúdos de baixa qualidade que circulam em sites e diferentes redes sociais, identificando com rapidez as publicações com potencial de viralização e a atuação dos grupos que operam para a sua amplificação."
PIB cai e pobreza extrema cresce,https://aupa.com.br/pib-cai-e-pobreza-extrema-cresce/,Aupa,Brenda Xavier,"A pandemia causada pelo novo Coronavírus deixou três milhões de brasileiros desempregados, além de jogar na pobreza extrema 83 milhões de pessoas da América Latina, segundo a ONU.

Na matéria, eu abordo a questão econômica do país onde trago dados impactantes da atual realidade com relatos de como os brasileiros estão se virando na pandemia."
Os contrastes de uma pandemia,https://aupa.com.br/os-contrastes-de-uma-pandemia/,Aupa - Jornalismo de Impacto,"Thiago Liberal (reportagem), Murilo Mendes (arte) e Fernanda Patrocinio (edição) ","Esta reportagem traz as diferentes faces no universo das doações em plena pandemia de Covid-19. De um lado, os bilhões de reais arrecadados em doações por institutos, fundações e empresas para combater os impactos do Coronavírus. De outro, pequenas organizações e coletivos se viram para garantir a continuidade de seus negócios e o sustento das famílias envolvidas. 
"
Indígenas brasileiros: os contextos diante da pandemia e as ameaças visíveis,https://aupa.com.br/indigenas-brasileiros-os-contextos-diante-da-pandemia-e-as-ameacas-visiveis/,Aupa - jornalismo de impacto,Nayá Fernandes,"O trabalho trata sobre a situação dos povos indígenas durante a pandemia, a partir da análise de dados que contabilizam números de indígenas infectados pela Covid-19 e os óbitos que aconteceram em diferentes regiões do País."
PIB cai e pobreza extrema cresce,https://aupa.com.br/pib-cai-e-pobreza-extrema-cresce/,Aupa -Jornalismo de Impacto,"Brenda Xavier (repórtagem), Daniel Santos (arte) e Fernanda Patrocínio (edição)","Esta reportagem buscou evidenciar números sobre economia atual e histórias de pessoas fortemente impactadas pela pandemia de Covid-19. Trata-se de uma reportagem para desmistificar alguns termos referidos à pobreza e à crise, bem como trazer ao debate a importância de políticas públicas voltadas à renda e os preceitos da agenda 2030 da ONU. Foram utilizadas variadas formas de contar a narrativa para que o leitor possa engajar-se e, sobretudo, informar-se sobre o tema. 
"
Mapa da Desigualdade 2020 - Região Metropolitana do Rio de Janeiro,https://casafluminense.org.br/mapa-da-desigualdade/,Casa Fluminense,Vitor Mihessen; Larissa Amorim; Guilherme Braga; Taynara Cabral; Paula Moura; Thábara Garcia; Luize Sampaio; Nathália Silva; Henrique Silveira; Taty Maria; Larissa Cunha; Douglas Almeida; Yasmin Monteiro.,"Mapa da Desigualdade 2020 da Região Metropolitana do Rio de Janeiro é uma publicação da Casa Fluminense que apresenta 40 indicadores socioeconômicos atualizados, divididos em 10 eixos temáticos (Habitação, Emprego, Transporte, Segurança, Saneamento, Saúde, Educação, Cultura, Assistência Social e Gestão Pública) e seccionados em 4 justiças: Econômica, Racial, de Gênero e Socioambiental. Apresentamos alguns dos principais desafios para o acesso à direitos sociais básicos, das moradoras e moradores das 22 cidades que compõem a RMRJ. O objetivo principal foi produzir um diagnóstico que ao mesmo tempo reforce a necessidade de produção de dados de maneira regular, periódica e confiável no Rio de Janeiro por inteiro, e some esforços com tantos movimentos importantes da sociedade civil que produzem de forma independente dados e narrativas sobre as realidades locais."
Voos piratas: a farra do táxi aéreo no Brasil,https://www.cnnbrasil.com.br/nacional/2020/07/06/interdicao-de-aeronaves-clandestinas-cresce-mais-de-cinco-vezes-desde-2017,CNN Brasil,"José Brito, Evandro Cini, Vital Neto e Luiz Fernando Toledo","Revelamos o robusto mercado clandestino de táxi-aéreo no Brasil, identificando a participação de empresas com contratos milionários com o poder público, pilotos famosos, dirigentes de sindicatos que deveriam fiscalizar esse tipo de irregularidade e apoio de deputados e senadores. O operador de táxi-aéreo pirata clandestino é aquele que  oferece voos mesmo sem ter autorização legal para tal e nem a segurança necessária. Identificamos todos os acidentes aéreos no período em aeronaves desse tipo, incluindo os do jornalista Ricardo Boechat, do cantor Gabriel Diniz e do apresentador Luciano Huck.  Esta série é dividida em oito textos para a internet, uma grande reportagem para a TV e um podcast com bastidores. 
"
"A farra do auxílio-emergencial: Empresários com contratos milionários, servidores civis e militares receberam auxílio-emergencial",São 4: https://www.cnnbrasil.com.br/business/2020/06/13/28-mil-militares-nao-devolveram-o-auxilio-emergencial / https://www.cnnbrasil.com.br/nacional/2020/06/19/governo-vai-recolher-mais-de-r-200-mi-de-auxilio-indevido-pago-a-servidores / https://www.cnnbrasil.com.br/business/2020/08/08/auxilio-emergencial-foi-pago-para-socios-de-empresas-que-combatem-a-pandemia / https://www.cnnbrasil.com.br/business/2020/08/17/servidores-e-militares-ainda-estao-com-r-9-5-milhoes-do-auxilio-emergencial,CNN Brasil,"Luiz Fernando Toledo, Cecília do Lago, Pedro Duran e Roberta Russo","Uma série de reportagens que destrinchou a gigantesca base de dados do auxílio-emergencial e descobriu milhares de pessoas, nas mais diversas situações socioeconômicas, que receberam o benefício federal indevidamente. Descobrimos políticos milionários, médicos, militares com salário de R$ 30 mil e empresários com contratos milionários com o poder público que receberam por meses o benefício - e alguns nunca o devolveram."
"Sem contestar, Exército paga quase triplo por insumo da cloroquina",https://www.cnnbrasil.com.br/nacional/2020/09/15/exclusivo-sem-contestar-exercito-paga-quase-triplo-por-insumo-da-cloroquina,CNN Brasil,"Daniel Mota, José Brito, Luiz Fernando Toledo e Vital Neto","Esta reportagem foi o mais profundo mergulho no processo de contratação pelo Exército de uma pequena empresa mineira para comprar insumos e fabricar a cloroquina, um remédio sem eficácia comprovada para tratar a Covid-19. A matéria revelou que o Exército não contestou uma pequena empresa de MG que quase triplicou o preço dos insumos para a fabricação ao longo do processo de compra e que só passou a perguntar o motivo do aumento do preço depois de uma investigação do TCU.	"
Brasil: Terra de Quem? (série em 4 episódios),https://www.youtube.com/watch?v=gA2CjbYqIYs; https://www.youtube.com/watch?v=bGdTnoH638Y&t=1104s; https://www.youtube.com/watch?v=NQBcaZ6qD20&t=2262s; https://www.youtube.com/watch?v=rU-hs2Rk2Z4&feature=youtu.be,CNN Brasil,"Adriana Farias; Marianne Bufalo; Maxwell Polimanti; Lucas Mioni, Nadhini Farah, Flavia Morais, Gabriela Pimentel, Rafael Gomide, Evaristo Costa, Daniel Salvia, Pablo Soares","Na última década, os conflitos no campo levaram à morte de mais de 430 pessoas no Brasil. São indígenas, quilombolas, camponeses e trabalhadores rurais contra fazendeiros, madeireiros e grileiros em disputas pela terra. Em quatro episódios, a série jornalística buscou retratar essa realidade que assola o Brasil desde sua descoberta em 1500. A proposta do projeto se deu após uma extensa análise de dados de dezenas de relatórios dos últimos anos da Comissão Pastoral da Terra sobre o assunto."
Coluna7: Especial Covid-19,https://colaboradados.com.br/podcast.html,Colaboradados,Judite Cypreste; João Ernane,"O Colaboradados vem, desde 2019, fazendo o trabalho de falar sobre jornalismo de dados de uma forma não muito usual: por meio do seu podcast Coluna7. Neste ano, em meio a pandemia, resolvemos fazer uma série de episódio falando sobre a dinâmica dia dados durante a pandemia do coronavírus. Como trabalhar com eles? De que forma não devemos cobrir? O que é imunidade de rebanho? Entrevistamos jornalistas, cientistas e demais especialistas para falar sobre a cobertura da pandemia com o viés do jornalismo de dados. "
COMO O COLABORABOT DESCOBRIU UM ERRO CAPAZ DE MODIFICAR DADOS GOVERNAMENTAIS,https://colaboradados.com.br/reportagens/2020-09-07-como-o-colaborabot-descobriu-um-erro-capaz-de-modificar-dados-governamentais.html,Colaboradados ,João Ernane; Judite Cypreste,"A partir do rastreamento de quedas no acesso a sites governamentais, o Colaboradados descobriu como portais do governo permitem que qualquer um possa apagar, adicionar ou modificar arquivos em sites com dados públicos. "
Governo de SP vaza dados privados de mais de 28 mil pessoas,https://congressoemfoco.uol.com.br/especial/governo-de-sp-vaza-dados-privados-de-mais-de-28-mil-pessoas/,Congresso Em Foco,Rosângela Lotfi,"Raspagem do site do Programa de Incentivo à Cultura do Estado de São Paulo (ProAC) para mostrar que dados sensíveis como cópia de carteira de identidade, CPF, comprovante de endereço, telefone e outras informações dos proponentes estavam expostos na web devido a uma falha primária na configuração do site. Em vez de utilizar o protocolo UserInterface DownLoading(UIDL) ao fazer upload das propostas e documentos, uma de tag HTML Embed incorporava os arquivos em uma URL padrão com ids sequenciais que deixava o conteúdo disponível para download e abertos na internet para quem se deparasse com urls como:
http://www.editaisproac.sp.gov.br/InscricoesEditaisUFDPC/download/downloadArquivo.action?arq.id=20215
http://www.editaisproac.sp.gov.br/InscricoesEditaisUFDPC/download/downloadArquivo.action?arq.id=20216"
Radar do Congresso,https://radar.congressoemfoco.com.br/,Congresso em Foco,Edson Sardinha; Erico Rosa; Guilherme Storck; Íris Lúcia; João Frey; Lucas Vinícius; Marina Oliveira; Sylvio Costa,"O Radar do Congresso é uma ferramenta de acesso público e gratuito que agrega em um único ambiente diversos dados sobre o Congresso Nacional. Entre as informações publicadas estão as votações dos parlamentares em todos os projetos analisados de forma nominal; a assiduidade; as proposições; os gastos da cota parlamentar; os discursos; o patrimônio declarado à Justiça eleitoral; os votos recebidos; e os dados de contato de cada gabinete. Além dessas informações primárias, publicamos os inquéritos e ações penais envolvendo parlamentares; e os índices de governismo e de transparência, este último desenvolvido com metodologia própria, explicitada a seguir. 

"
Coronavirus-MG.com.br,https://www.coronavirus-mg.com.br/,Coronavirus-MG.com.br,Cristiano Martins,"O Coronavirus-MG.com.br é um projeto voluntário e independente, originado da falta de transparência por parte do governo estadual quanto aos números da pandemia em Minas Gerais. Trata-se, prioritariamente, do monitoramento diário da Covid-19 em todos os 853 municípios mineiros desde o primeiro caso registrado no estado, em 8 de março. Além de um gráfico interativo com filtros por data, região, microrregião e cidade, o site disponibiliza a base de dados para consulta e download, contribuindo assim para reportagens, estudos e ações práticas de combate ao vírus e à desinformação. Até o momento desta inscrição (29/08), já são 174 dias ininterruptos de coleta, organização e atualização dessas informações."
Mapa da Covid-19 em Minas Gerais,https://www.coronavirus-mg.com.br/,Coronavirus-MG.com.br,Cristiano Martins,"O site do projeto Coronavirus-MG.com.br apresenta um mapa interativo, atualizado diariamente, para consultas sobre a evolução dos casos e óbitos em Minas Gerais desde a primeira notificação confirmada no estado. A visualização já recebeu dois upgrades desde o início da cobertura. A versão mais atual, lançada em 16 de junho, ganhou filtros por região e microrregião, números de novos casos e novas mortes por dia, pacientes recuperados e taxas de incidência e mortalidade em cada um dos 853 municípios mineiros."
Correio nas Escolas,https://correionasescolas.correiobraziliense.com.br,Correio Braziliense,Ana Paula Lisboa; Adalberto Sampaio; Thays Martins,"O projeto especial de jornalismo de dados Correio nas Escolas ajuda a trazer ao público, de modo acessível, informações completas sobre todas as 234 escolas de ensino médio do Distrito Federal. Dados de bases da Secretaria de Estado de Educação do Distrito Federal (SEE-DF), do MEC e do Inep são apresentados em um mapa interativo que traz detalhamentos sobre todas as escolas de ensino médio do DF. O projeto traz ainda reportagens sobre o que é preciso para melhorar o ensino médio e sobre as 16 melhores escolas públicas (uma de cada região administrativa do DF); um conjunto de contribuição de leitores, contando experiências como alunos, ex-alunos, pais, professores ou funcionários de colégios dos anos finais da educação básica (por meio de textos, fotos, áudios e vídeos); linha do tempo com resgate de publicações do Correio Braziliense. O projeto foi desenvolvido com uma bolsa de jornalismo de dados que a jornalista Ana Paula Lisboa recebeu do International Center for Journalists (ICFJ) e do The Wall Street Journal."
De Olho nos Desmatadores,https://deolhonosruralistas.com.br/2020/02/02/mapa-mostra-por-municipio-os-maiores-multados-por-desmatamento-nos-ultimos-25-anos/,De Olho nos Ruralistas,Alceu Luís Castilho; Leonardo Fuhrmann; Priscilla Arroyo,"A equipe baixou todos os dados disponíveis no Ibama sobre multas por desmatamento, entre 1995 e 2019, organizou-os e chegou a uma lista com os 4.620 maiores multados no Brasil nesse período, entre pessoas físicas e jurídicas, aqueles com multas, somadas, acima de R$ 1 milhão. A partir daí, disponibilizou os dados em um mapa, município por município e ano por ano, com os dados sobre cada autuado. Uma série de reportagens no próprio site e em veículos parceiros explorou as várias possibilidades do banco de dados."
51% dos LGBTs já sofreu discriminação no trabalho,https://dentrodomeio.com.br/colunas/especial/51-dos-lgbts-ja-sofreu-discriminacao-no-trabalho/,Dentro Do Meio,Renan Oliveira,"Pesquisa realizada pelo Dentro Do Meio para realização de uma matérias mostrando que ainda existe discriminação por orientação sexual e identidade de gênero, as ações de empresas focadas no mês do orgulho LGBT nem sempre refletem a cultura das organizações."
Acesso à apps de encontro cresce 30% durante quarentena,https://bit.ly/2WT3xou,Dentro Do Meio,Renan Oliveira,Matéria aborda o uso de apps de relacionamento durante a pandemia no Brasil
Coronavírus escancara desigualdade à população LGBTI,https://dentrodomeio.com.br/colunas/especial/coronavirus-escancara-desigualdade-a-populacao-lgbti/,Dentro do Meio,Rafael Revadam,"O objetivo da reportagem era trazer um panorama sobre a realidade da população LGBTI perante à pandemia e ao consequente isolamento social. A ideia era apontar não só os desníveis de desigualdade que foram intensificados neste período, mas como a união de entidades e a elaboração de dados independentes escancara um descaso governamental, que se recusa a mapear e a identificar as situações de vulnerabilidade dessa população. "
"Série de reportagem ""Cidade: História Edificada""",https://diariodonordeste.verdesmares.com.br/noticias/Tag/Cidade%3A%20Hist%C3%B3ria%20Edificada,Diário do Nordeste,Thatiany Nascimento; Dahiana Araújo,"O especial Cidade: História Edificada foi publicado na versão impressa e online do jornal Diário do Nordeste. Fizemos uso de dados do cadastro imobiliário de Fortaleza, gerenciado pela Prefeitura, para discutir o problema do desconhecimento sobre a idade real dos milhares de imóveis distribuídos nos 121 bairros da Capital. A matérias desdobram os dados e as evidências geradas por eles, e ampliam o debate sobre habitação, desenvolvimento urbano e registros públicos. 
"
Óbito de idosos na pandemia,https://diariodonordeste.verdesmares.com.br/metro/covid-19-obitos-de-idosos-deixam-efeitos-sociais-nas-demais-geracoes-1.2962472,Diário do Nordeste,Thatiany Nascimento; Dahiana Araújo,"A matéria apresenta dados sobre a mortalidade de idosos no Ceará em decorrência da Covid-19 e levanta a discussão sobre as repercussões sociais da perda expressiva de pessoas acima de 60 anos, em um curto intervalo de tempo, para outras gerações  e à coletividade. 
"
Direito à Informação,https://diariodonordeste.verdesmares.com.br/politica/direito-a-informacao-89-dos-municipios-do-ceara-nao-cumprem-a-lei-de-acesso-a-informacao-1.2995201,Diário do Nordeste,"Jéssica Welma, Ozias Filho, Wagner Mendes, William Santos ",A reportagem consistiu na checagem do funcionamento da Lei de Acesso à Informação nos portais das prefeituras dos 184 municípios do Ceará. A busca por informação em todos os municípios através da plataforma e-SIC mostrou que a esmagadora maioria das gestões não cumpre com a lei.
Universidades brasileiras sob o microscópio,"https://www.estadao.com.br/infograficos/educacao,universidades-brasileiras-sob-o-microscopio,1061261",Estadão,"Rodrigo Menegat, Bruno Ponceano, Victor Vieira","Essa análise feita com dados do Leiden Ranking 2019, um dos principais rankings universitários do mundo, ajuda a mostrar quais são os centros de excelência em pesquisa no Brasil, mas também deixa claro que avaliar a produção científica não é tarefa simples."
Simulação mostra quais crianças são adotadas (e quais não são) no Brasil,https://arte.estadao.com.br/brasil/adocao/criancas/,Estadão,Vinicius Sueiro; Mariana Cunha; Bruno Ponceano; Júlia Marques,"A reportagem aborda como as expectativas de pessoas interessadas em adotar uma criança não se alinham com o perfil dos jovens que estão nos abrigos. O trabalho usa uma metáfora visual para passar essa mensagem de forma mais sensível: cada criança é representada como uma pequena planta, que cresce conforme o tempo que ela está no abrigo."
Guerra das Águas,"https://www.estadao.com.br/infograficos/politica,rios-vigiados,1063363",Estado de São Paulo,Patrik Camporez; Dida Sampaio,"Considero esta uma clássica reportagem guiada por dados e, em certa medida, pela ausência deles. Por isso me dispus a inscrever esta série neste importante prêmio. Seguem minhas justificativas:

A violência no campo se expande dos conflitos por terra às disputas pelas águas dos rios do Brasil. Uma investigação jornalística revela violações de direitos humanos no dia a dia de índios, ribeirinhos, agricultores e posseiros. Do outro lado da luta pelos mananciais estão ruralistas, hidrelétricas e grupos econômicos. Num grande esforço de reportagem, a equipe viajou a localidades de 12 estados, da Amazônia ao semiárido, para mostrar uma tragédia cada vez maior. Cada palmo de córrego é disputado à bala, com conflitos que terminam em mortes e confrontos violentos. O trabalho jornalístico resultou ainda no levantamento de 63 mil Boletins de Ocorrência abertos em delegacias do País, nos últimos cinco anos, por questões envolvendo o acesso a água."
Mulheres sem renda são as mais afetadas pela pandemia na Rocinha,https://falaroca.com/mulheres-afetadas-pandemia-rocinha/,Fala Roça,"Michel Silva, Michele Silva e Amanda Pinheiro","O trabalho foi desenvolvido a partir das doações de cestas básicas promovidas pelo jornal Fala Roça em parceria com o Instituto Unibanco. Mais de 12 mil cestas básicas foram doadas durante três meses para os moradores da Rocinha, no Rio de Janeiro. As entregas começaram em maio, antes do auxílio emergencial (AE) ser dado para as pessoas. Através das doações, aplicamos um formulário para conhecer o perfil dos moradores. Sabemos se são homens ou mulheres, se elas receberam o AE, quantas pessoas moram com ela, quantas crianças moram com ela, além de perguntas sobre empregabilidade. Estima-se que 50 mil moradores foram beneficiados diretamente e indiretamente com as doações de cestas básicas. Na reportagem, entrevistamos moradores; o diretor-executivo do Instituto Unibanco, Ricardo Henriques; a comentarista de economia Flavia Oliveira e diretora-executiva do Fala Roça, Michele Silva."
Supersalários da Câmara de Ribeirão Preto,https://farolete.info/conheca-todos-os-supersalarios-da-camara-de-ribeirao-preto/,Farolete (independente),Cristiano Pavini,"Reportagem investigativa sobre a estrutura salarial da Câmara Municipal de Ribeirão Preto, mostrando distorções e relações familiares no Legislativo."
Abismo racial no ensino de Ribeirão Preto,https://farolete.info/conheca-o-abismo-racial-entre-escolas-publicas-e-privadas-de-ribeirao-preto/,Farolete (veículo independente),Cristiano Pavini,"Reportagem analisou dados de 96.123 alunos matriculados no Ensino Fundamental e Médio de Ribeirão Preto em 2018, com base em microdados do Inep, com foco no recorte racial entre escolas da rede pública e privada."
Abrindo dados de pensionistas de todo o Brasil pela primeira vez no século,https://fiquemsabendo.substack.com/p/aps-denncia-da-fiquem-sabendo-governo-17d,Fiquem Sabendo,"Bruno Schimitt Morassutti, Maria Vitória Ramos, Léo Arcoverde e Luiz Fernando Toledo","A agência Fiquem Sabendo denunciou o governo federal ao TCU por nunca ter divulgado em detalhes sobre quem são as pessoas que recebem pensões de servidores, tanto civis quanto militares. Trata-se de um valor gigantesco de R$ 471,3 bilhões pagos nos últimos 20 anos, mas que nunca houve nenhuma transparência sobre o processo. Após três anos a denúncia foi acatada e a agência abriu e organizou os dados para que qualquer pessoa pudesse usá-los."
